CoRoT,Year,Month,Day,FileName_a,FileName_b,FileName_c
102762684,2007,2,3,130553,20070402,70158
102762748,2007,2,3,130553,20070402,70158
102762869,2007,2,3,130553,20070402,70158
102763047,2007,2,3,130553,20070402,70158
102763149,2007,2,3,130553,20070402,70126
102763214,2007,2,3,130553,20070402,70158
102763343,2007,2,3,130553,20070402,70158
102763413,2007,2,3,130553,20070402,70126
102763453,2007,2,3,130553,20070402,70126
102763541,2007,2,3,130553,20070402,70158
102763722,2007,2,3,130553,20070402,70158
102763839,2007,2,3,130553,20070402,70158
102763847,2007,2,3,130553,20070402,70126
102764066,2007,2,3,130553,20070402,70158
102764089,2007,2,3,130553,20070402,70158
102764204,2007,2,3,130553,20070402,70126
102764579,2007,2,3,130553,20070402,70158
102764727,2007,2,3,130553,20070402,70158
102764745,2007,2,3,130553,20070402,70158
102764953,2007,2,3,130553,20070402,70158
102765168,2007,2,3,130553,20070402,70158
102765365,2007,2,3,130553,20070402,70158
102765489,2007,2,3,130553,20070402,70158
102765500,2007,2,3,130553,20070402,70158
102765512,2007,2,3,130553,20070402,70158
102765546,2007,2,3,130553,20070402,70158
102766017,2007,2,3,130553,20070402,70126
102766038,2007,2,3,130553,20070402,70158
102766149,2007,2,3,130553,20070402,70126
102766223,2007,2,3,130553,20070402,70158
102766283,2007,2,3,130553,20070402,70158
102766566,2007,2,3,130553,20070402,70158
102766598,2007,2,3,130553,20070402,70158
102766835,2007,2,3,130553,20070402,70158
102766905,2007,2,3,130553,20070402,70158
102767173,2007,2,3,130553,20070402,70158
102767246,2007,2,3,130553,20070402,70158
102767494,2007,2,3,130553,20070402,70126
102767672,2007,2,3,130553,20070402,70126
102767871,2007,2,3,130553,20070402,70158
102768076,2007,2,3,130553,20070402,70158
102768219,2007,2,3,130553,20070402,70158
102768254,2007,2,3,130553,20070402,70158
102768286,2007,2,3,130553,20070402,70126
102768430,2007,2,3,130553,20070402,70158
102768667,2007,2,3,130553,20070402,70158
102768798,2007,2,3,130553,20070402,70126
102768841,2007,2,3,130553,20070402,70126
102768861,2007,2,3,130553,20070402,70158
102768914,2007,2,3,130553,20070402,70126
102768937,2007,2,3,130553,20070402,70158
102768987,2007,2,3,130553,20070402,70158
102769144,2007,2,3,130553,20070402,70158
102769167,2007,2,3,130553,20070402,70158
102769447,2007,2,3,130553,20070402,70126
102769569,2007,2,3,130553,20070402,70158
102769579,2007,2,3,130553,20070402,70126
102769590,2007,2,3,130553,20070402,70158
102769636,2007,2,3,130553,20070402,70158
102769653,2007,2,3,130553,20070402,70158
102769681,2007,2,3,130553,20070402,70158
102769746,2007,2,3,130553,20070402,70158
102769773,2007,2,3,130553,20070402,70126
102769791,2007,2,3,130553,20070402,70158
102769848,2007,2,3,130553,20070402,70158
102769946,2007,2,3,130553,20070402,70158
102770039,2007,2,3,130553,20070402,70158
102770044,2007,2,3,130553,20070402,70158
